year,period,periodName,latest,value,footnotes,series_id
2024,Q03,3rd Quarter,True,0.8,"[{'code': 'R', 'text': 'revised'}]",PRS85006112
2024,Q02,2nd Quarter,,-1.1,"[{'code': 'R', 'text': 'revised'}]",PRS85006112
2024,Q01,1st Quarter,,8.5,[{}],PRS85006112
2023,Q04,4th Quarter,,0.9,[{}],PRS85006112
2023,Q03,3rd Quarter,,1.2,[{}],PRS85006112
2023,Q02,2nd Quarter,,2.6,[{}],PRS85006112
2023,Q01,1st Quarter,,3.5,[{}],PRS85006112
2022,Q04,4th Quarter,,-2.4,[{}],PRS85006112
2022,Q03,3rd Quarter,,7.4,[{}],PRS85006112
2022,Q02,2nd Quarter,,3.7,[{}],PRS85006112
2022,Q01,1st Quarter,,6.9,[{}],PRS85006112
2021,Q04,4th Quarter,,2.9,[{}],PRS85006112
2021,Q03,3rd Quarter,,8.0,[{}],PRS85006112
2021,Q02,2nd Quarter,,6.3,[{}],PRS85006112
2021,Q01,1st Quarter,,-2.3,[{}],PRS85006112
2020,Q04,4th Quarter,,14.1,[{}],PRS85006112
2020,Q03,3rd Quarter,,-11.6,[{}],PRS85006112
2020,Q02,2nd Quarter,,3.8,[{}],PRS85006112
2020,Q01,1st Quarter,,11.9,[{}],PRS85006112
2024,Q03,3rd Quarter,true,0.8,"[{'code': 'R', 'text': 'revised'}]",PRS85006112
2024,Q02,2nd Quarter,,-1.1,"[{'code': 'R', 'text': 'revised'}]",PRS85006112
2024,Q01,1st Quarter,,8.5,[{}],PRS85006112
2023,Q04,4th Quarter,,0.9,[{}],PRS85006112
2023,Q03,3rd Quarter,,1.2,[{}],PRS85006112
2023,Q02,2nd Quarter,,2.6,[{}],PRS85006112
2023,Q01,1st Quarter,,3.5,[{}],PRS85006112
2022,Q04,4th Quarter,,-2.4,[{}],PRS85006112
2022,Q03,3rd Quarter,,7.4,[{}],PRS85006112
2022,Q02,2nd Quarter,,3.7,[{}],PRS85006112
2022,Q01,1st Quarter,,6.9,[{}],PRS85006112
2021,Q04,4th Quarter,,2.9,[{}],PRS85006112
2021,Q03,3rd Quarter,,8.0,[{}],PRS85006112
2021,Q02,2nd Quarter,,6.3,[{}],PRS85006112
2021,Q01,1st Quarter,,-2.3,[{}],PRS85006112
2020,Q04,4th Quarter,,14.1,[{}],PRS85006112
2020,Q03,3rd Quarter,,-11.6,[{}],PRS85006112
2020,Q02,2nd Quarter,,3.8,[{}],PRS85006112
2020,Q01,1st Quarter,,11.9,[{}],PRS85006112
2019,Q04,4th Quarter,,3.2,[{}],PRS85006112
2019,Q03,3rd Quarter,,-4.2,[{}],PRS85006112
2019,Q02,2nd Quarter,,-2.4,[{}],PRS85006112
2019,Q01,1st Quarter,,6.2,[{}],PRS85006112
2018,Q04,4th Quarter,,2.1,[{}],PRS85006112
2018,Q03,3rd Quarter,,2.8,[{}],PRS85006112
2018,Q02,2nd Quarter,,2.0,[{}],PRS85006112
2018,Q01,1st Quarter,,1.1,[{}],PRS85006112
2017,Q04,4th Quarter,,2.4,[{}],PRS85006112
2017,Q03,3rd Quarter,,1.9,[{}],PRS85006112
2017,Q02,2nd Quarter,,2.3,[{}],PRS85006112
2017,Q01,1st Quarter,,3.4,[{}],PRS85006112
2016,Q04,4th Quarter,,1.6,[{}],PRS85006112
2016,Q03,3rd Quarter,,0.4,[{}],PRS85006112
2016,Q02,2nd Quarter,,1.2,[{}],PRS85006112
2016,Q01,1st Quarter,,-1.6,[{}],PRS85006112
2015,Q04,4th Quarter,,1.7,[{}],PRS85006112
2015,Q03,3rd Quarter,,1.4,[{}],PRS85006112
2015,Q02,2nd Quarter,,1.6,[{}],PRS85006112
2015,Q01,1st Quarter,,2.4,[{}],PRS85006112
2014,Q04,4th Quarter,,5.9,[{}],PRS85006112
2014,Q03,3rd Quarter,,-1.3,[{}],PRS85006112
2014,Q02,2nd Quarter,,-4.7,[{}],PRS85006112
2014,Q01,1st Quarter,,11.5,[{}],PRS85006112
2013,Q04,4th Quarter,,-0.6,[{}],PRS85006112
2013,Q03,3rd Quarter,,-3.7,[{}],PRS85006112
2013,Q02,2nd Quarter,,3.7,[{}],PRS85006112
2013,Q01,1st Quarter,,-7.7,[{}],PRS85006112
2012,Q04,4th Quarter,,12.4,[{}],PRS85006112
2012,Q03,3rd Quarter,,1.1,[{}],PRS85006112
2012,Q02,2nd Quarter,,0.0,[{}],PRS85006112
2012,Q01,1st Quarter,,7.7,[{}],PRS85006112
