year,period,periodName,latest,value,footnotes,series_id
2024,M11,November,true,7145,[{}],LNS13000000
2024,M10,October,,6984,[{}],LNS13000000
2024,M09,September,,6834,[{}],LNS13000000
2024,M08,August,,7115,[{}],LNS13000000
2024,M07,July,,7163,[{}],LNS13000000
2024,M06,June,,6811,[{}],LNS13000000
2024,M05,May,,6649,[{}],LNS13000000
2024,M04,April,,6492,[{}],LNS13000000
2024,M03,March,,6429,[{}],LNS13000000
2024,M02,February,,6458,[{}],LNS13000000
2024,M01,January,,6124,[{}],LNS13000000
2023,M12,December,,6268,[{}],LNS13000000
2023,M11,November,,6262,[{}],LNS13000000
2023,M10,October,,6443,[{}],LNS13000000
2023,M09,September,,6347,[{}],LNS13000000
2023,M08,August,,6340,[{}],LNS13000000
2023,M07,July,,5904,[{}],LNS13000000
2023,M06,June,,5997,[{}],LNS13000000
2023,M05,May,,6117,[{}],LNS13000000
2023,M04,April,,5715,[{}],LNS13000000
2023,M03,March,,5866,[{}],LNS13000000
2023,M02,February,,5962,[{}],LNS13000000
2023,M01,January,,5719,[{}],LNS13000000
2022,M12,December,,5698,[{}],LNS13000000
2022,M11,November,,5956,[{}],LNS13000000
2022,M10,October,,5950,[{}],LNS13000000
2022,M09,September,,5755,[{}],LNS13000000
2022,M08,August,,5983,[{}],LNS13000000
2022,M07,July,,5783,[{}],LNS13000000
2022,M06,June,,5984,[{}],LNS13000000
2022,M05,May,,5966,[{}],LNS13000000
2022,M04,April,,6034,[{}],LNS13000000
2022,M03,March,,5993,[{}],LNS13000000
2022,M02,February,,6279,[{}],LNS13000000
2022,M01,January,,6549,[{}],LNS13000000
2021,M12,December,,6305,[{}],LNS13000000
2021,M11,November,,6733,[{}],LNS13000000
2021,M10,October,,7244,[{}],LNS13000000
2021,M09,September,,7659,[{}],LNS13000000
2021,M08,August,,8288,[{}],LNS13000000
2021,M07,July,,8770,[{}],LNS13000000
2021,M06,June,,9547,[{}],LNS13000000
2021,M05,May,,9250,[{}],LNS13000000
2021,M04,April,,9801,[{}],LNS13000000
2021,M03,March,,9734,[{}],LNS13000000
2021,M02,February,,9992,[{}],LNS13000000
2021,M01,January,,10196,[{}],LNS13000000
2020,M12,December,,10772,[{}],LNS13000000
2020,M11,November,,10713,[{}],LNS13000000
2020,M10,October,,11012,[{}],LNS13000000
2020,M09,September,,12573,[{}],LNS13000000
2020,M08,August,,13498,[{}],LNS13000000
2020,M07,July,,16391,[{}],LNS13000000
2020,M06,June,,17658,[{}],LNS13000000
2020,M05,May,,20933,[{}],LNS13000000
2020,M04,April,,23090,[{}],LNS13000000
2020,M03,March,,7209,[{}],LNS13000000
2020,M02,February,,5729,[{}],LNS13000000
2020,M01,January,,5842,[{}],LNS13000000
